text,label
"Je t'envoie le document par email d'ici ce soir.",ham
"Votre compte bancaire a été compromis. Confirmez vos informations immédiatement !",spam
"Vous avez été sélectionné parmi des millions ! Votre récompense vous attend !",spam
"Le projet avance bien. On peut en discuter lors de notre prochain appel ?",ham
"Je t'envoie le document par email d'ici ce soir.",ham
"Prêt rapide sans justificatifs : jusqu'à 40 000€ en 61h !",spam
"Tu as reçu mon message d'hier soir ? Je t'ai envoyé les photos de la fête.",ham
"VIP exclusif : Accès illimité aux films, séries et sport pour seulement 5€/mois !",spam
"Peux-tu rappeler le plombier ? Il n'a pas donné de nouvelles depuis 2 jours.",ham
"Le bébé a bien dormi cette nuit, enfin ! Tout le monde est reposé.",ham
"Méthode secrète pour gagner au casino en ligne à coup sûr ! Résultats garantis !",spam
"Le film commence à 22h00, on se retrouve devant le cinéma ?",ham
"ALERTE : Virus détecté sur votre appareil ! Appelez le +33 7 97 37 maintenant !",spam
"⚠️ DERNIER AVERTISSEMENT : Votre adresse IP a été piratée. Protégez-vous maintenant !",spam
"URGENT : Votre compte sera suspendu dans 9h. Vérifiez ici !",spam
"N'oublie pas d'amener ta carte d'identité pour l'inscription de demain.",ham
"Promotion incroyable ! Achetez 2, obtenez 2 GRATUIT aujourd'hui seulement !",spam
"Bonjour, comment vas-tu ? On se voit toujours ce lundi ?",ham
"Votre compte bancaire a été compromis. Confirmez vos informations immédiatement !",spam
"Pourrais-tu m'envoyer le rapport avant 2 heures s'il te plaît ?",ham
"Médicament miracle : perdez 14kg en 2 semaines sans régime !",spam
"Vous êtes le gagnant sélectionné ! Réclamez votre prix de 4 000€ maintenant !",spam
"Je t'envoie le document par email d'ici ce soir.",ham
"ALERTE : Virus détecté sur votre appareil ! Appelez le +33 2 91 96 maintenant !",spam
"La voiture passe au contrôle technique le 15 du mois prochain.",ham
"N'oublie pas d'amener ta carte d'identité pour l'inscription de demain.",ham
"Votre abonnement Netflix expire dans 24h. Mettez à jour votre paiement ici !",spam
"Agrandissez votre revenu de 150% en travaillant depuis chez vous !",spam
"N'oublie pas d'amener ta carte d'identité pour l'inscription de demain.",ham
"Est-ce que tu peux venir me chercher à la gare vers 19h ?",ham
"Offre exclusive réservée pour vous ! -81% sur tout !",spam
"Le bébé a bien dormi cette nuit, enfin ! Tout le monde est reposé.",ham
"Bonjour, comment vas-tu ? On se voit toujours ce lundi ?",ham
"Agrandissez votre revenu de 205% en travaillant depuis chez vous !",spam
"La formation du 1 mars est confirmée.",ham
"Le projet avance bien. On peut en discuter lors de notre prochain appel ?",ham
"Bonne anniversaire ! J'espère que tu passes une excellente journée !",ham
"Rappel : rendez-vous chez le médecin mercredi à 16h.",ham
"Le cours de guitare reprend la semaine prochaine.",ham
"J'ai besoin de ton avis sur la nouvelle présentation. Tu as 15 minutes ?",ham
"Tu as reçu mon message d'hier soir ? Je t'ai envoyé les photos de la fête.",ham
"Méthode secrète pour gagner au casino en ligne à coup sûr ! Résultats garantis !",spam
"Rencontrez des célibataires près de chez vous ! Inscription 100% gratuite et discrète !",spam
"Peux-tu rappeler le plombier ? Il n'a pas donné de nouvelles depuis 4 jours.",ham
"Agrandissez votre revenu de 186% en travaillant depuis chez vous !",spam
"VENTE FLASH : 77% de réduction sur les montres de luxe ! Offre limitée !",spam
"Investissez 122€ et gagnez 2 000€ par mois garanti !",spam
"Investissez 84€ et gagnez 2 000€ par mois garanti !",spam
"Le budget du projet a été approuvé. On peut commencer dès lundi.",ham
"GRATUIT : iPhone 19 pour les 18 premiers inscrits !",spam
"Votre abonnement Netflix expire dans 24h. Mettez à jour votre paiement ici !",spam
"Investissez 60€ et gagnez 6 000€ par mois garanti !",spam
"La voiture passe au contrôle technique le 11 du mois prochain.",ham
"Crypto-monnaie : multipliez votre mise par 7 en 2 jours ! Rejoignez-nous !",spam
"Crypto-monnaie : multipliez votre mise par 5 en 3 jours ! Rejoignez-nous !",spam
"Rappel : rendez-vous chez le médecin lundi à 10h.",ham
"La voiture passe au contrôle technique le 19 du mois prochain.",ham
"Votre numéro a été tiré au sort ! Livraison gratuite de votre colis premium !",spam
"Méthode secrète pour gagner au casino en ligne à coup sûr ! Résultats garantis !",spam
"ALERTE : Virus détecté sur votre appareil ! Appelez le +33 1 10 20 maintenant !",spam
"Vous avez été sélectionné parmi des millions ! Votre récompense vous attend !",spam
"Promotion incroyable ! Achetez 1, obtenez 3 GRATUIT aujourd'hui seulement !",spam
"VENTE FLASH : 69% de réduction sur les montres de luxe ! Offre limitée !",spam
"Cliquez ici pour débloquer votre cadeau mystère d'une valeur de 388€ !",spam
"Le budget du projet a été approuvé. On peut commencer dès lundi.",ham
"La réservation de l'hôtel est confirmée pour 2 nuits.",ham
"J'ai besoin de ton avis sur la nouvelle présentation. Tu as 12 minutes ?",ham
"Rencontrez des célibataires près de chez vous ! Inscription 100% gratuite et discrète !",spam
"Votre abonnement Netflix expire dans 24h. Mettez à jour votre paiement ici !",spam
"Commandez maintenant et recevez 2 articles OFFERTS avec votre commande !",spam
"VENTE FLASH : 27% de réduction sur les montres de luxe ! Offre limitée !",spam
"Offre exclusive réservée pour vous ! -54% sur tout !",spam
"Nouveau traitement révolutionnaire contre la chute de cheveux testé par 2470 personnes !",spam
"Recette de grand-mère pour effacer les rides en 1 jours naturellement !",spam
"Le film commence à 19h15, on se retrouve devant le cinéma ?",ham
"Votre facture est impayée ! Évitez les pénalités en cliquant ici immédiatement !",spam
"VENTE FLASH : 88% de réduction sur les montres de luxe ! Offre limitée !",spam
"Vous êtes le gagnant sélectionné ! Réclamez votre prix de 5 000€ maintenant !",spam
"ALERTE : Virus détecté sur votre appareil ! Appelez le +33 1 37 25 maintenant !",spam
"Vous êtes le gagnant sélectionné ! Réclamez votre prix de 4 000€ maintenant !",spam
"La livraison est prévue entre 12h et 15h demain.",ham
"Votre facture est impayée ! Évitez les pénalités en cliquant ici immédiatement !",spam
